pmid	source_file	isolate_id	match_type	matched_strain	bioproject_accession	biosample_accession	sra_accession
34589061	34589061.mic.tsv	LRKNS080	no_match				
34589061	34589061.mic.tsv	Scl31	no_match				
34589061	34589061.mic.tsv	Scl25	no_match				
34589061	34589061.mic.tsv	KEB09	no_match				
34589061	34589061.mic.tsv	VCU105	no_match				
34589061	34589061.mic.tsv	JCM 2414	no_match				
34589061	34589061.mic.tsv	978_SEPI	no_match				
34589061	34589061.mic.tsv	LRKNS081	no_match				
34589061	34589061.mic.tsv	949_S8	no_match				
34589061	34589061.mic.tsv	ET-024	no_match				
34589061	34589061.mic.tsv	UBA4169	no_match				
34589061	34589061.mic.tsv	SNUC 1209	no_match				
34589061	34589061.mic.tsv	SNUC 4029	no_match				
34589061	34589061.mic.tsv	NIHLM020	no_match				
34589061	34589061.mic.tsv	VCU081	no_match				
34589061	34589061.mic.tsv	Qt1p44	no_match				
34589061	34589061.mic.tsv	SNUC 5038	no_match				
34589061	34589061.mic.tsv	VCU109	no_match				
34589061	34589061.mic.tsv	916_SEPI	no_match				
34589061	34589061.mic.tsv	ACEF09	no_match				
34589061	34589061.mic.tsv	MTCC 3382	no_match				
34589061	34589061.mic.tsv	NIHLM067	no_match				
34589061	34589061.mic.tsv	917_2_SEPI	no_match				
34589061	34589061.mic.tsv	M26	no_match				
34589061	34589061.mic.tsv	695_SEPI	no_match				
34589061	34589061.mic.tsv	DAR5153	no_match				
34589061	34589061.mic.tsv	237_SEPI	no_match				
34589061	34589061.mic.tsv	8400	no_match				
34589061	34589061.mic.tsv	643_SEPI	no_match				
34589061	34589061.mic.tsv	DAR1301	no_match				
34589061	34589061.mic.tsv	SNUC 2569	no_match				
34589061	34589061.mic.tsv	I4	no_match				
34589061	34589061.mic.tsv	NIH05003	no_match				
34589061	34589061.mic.tsv	LRKNS014	no_match				
34589061	34589061.mic.tsv	KED12	no_match				
34589061	34589061.mic.tsv	M25	no_match				
34589061	34589061.mic.tsv	SNUC 75	no_match				
34589061	34589061.mic.tsv	VCU050	no_match				
34589061	34589061.mic.tsv	M01	no_match				
34589061	34589061.mic.tsv	AU12-03	no_match				
34589061	34589061.mic.tsv	1311_SEPI	no_match				
34589061	34589061.mic.tsv	0123W_32_35	no_match				
34589061	34589061.mic.tsv	ABKWQ	no_match				
34589061	34589061.mic.tsv	E13A	no_match				
34589061	34589061.mic.tsv	73_SEPI	no_match				
34589061	34589061.mic.tsv	917_SEPI	no_match				
34589061	34589061.mic.tsv	161_SEPI	no_match				
34589061	34589061.mic.tsv	818_SEPI	no_match				
34589061	34589061.mic.tsv	314_SEPI	no_match				
34589061	34589061.mic.tsv	M22	no_match				
34589061	34589061.mic.tsv	677_SEPI	no_match				
34589061	34589061.mic.tsv	248_SEPI	no_match				
34589061	34589061.mic.tsv	VCU127	no_match				
34589061	34589061.mic.tsv	SNUC 2538	no_match				
34589061	34589061.mic.tsv	ICE173	no_match				
34589061	34589061.mic.tsv	1457	no_match				
34589061	34589061.mic.tsv	ENVL300	no_match				
34589061	34589061.mic.tsv	I6	no_match				
34589061	34589061.mic.tsv	1306.rep1_SEPI	no_match				
34589061	34589061.mic.tsv	AU21	no_match				
34589061	34589061.mic.tsv	ICE146	no_match				
34589061	34589061.mic.tsv	1144_SEPI	no_match				
34589061	34589061.mic.tsv	VCU036	no_match				
34589061	34589061.mic.tsv	0514Y_32_9	no_match				
34589061	34589061.mic.tsv	154_SEPI	no_match				
34589061	34589061.mic.tsv	DAR1172	no_match				
34589061	34589061.mic.tsv	VCU125	no_match				
34589061	34589061.mic.tsv	1306.rep2_SEPI	no_match				
34589061	34589061.mic.tsv	1296_SEPI	no_match				
34589061	34589061.mic.tsv	1289_SEPI	no_match				
34589061	34589061.mic.tsv	LRKNS077	no_match				
34589061	34589061.mic.tsv	AU24	no_match				
34589061	34589061.mic.tsv	VCU123	no_match				
34589061	34589061.mic.tsv	PEI-B-P-06	no_match				
34589061	34589061.mic.tsv	134_SEPI	no_match				
34589061	34589061.mic.tsv	VCU028	no_match				
34589061	34589061.mic.tsv	SNUC 258	no_match				
34589061	34589061.mic.tsv	VCU117	no_match				
34589061	34589061.mic.tsv	SCH-13	no_match				
34589061	34589061.mic.tsv	971_SEPI	no_match				
34589061	34589061.mic.tsv	VCU037	no_match				
34589061	34589061.mic.tsv	VCU126	no_match				
34589061	34589061.mic.tsv	ICE25	no_match				
34589061	34589061.mic.tsv	1115_SEPI	no_match				
34589061	34589061.mic.tsv	236_SEPI	no_match				
34589061	34589061.mic.tsv	849_SEPI	no_match				
34589061	34589061.mic.tsv	1097_SEPI	no_match				
34589061	34589061.mic.tsv	654_SEPI	no_match				
34589061	34589061.mic.tsv	ENVL_032	no_match				
34589061	34589061.mic.tsv	NCTC 11047	no_match				
34589061	34589061.mic.tsv	Mt1p16	no_match				
34589061	34589061.mic.tsv	393_SEPI	no_match				
34589061	34589061.mic.tsv	899_SEPI	no_match				
34589061	34589061.mic.tsv	246_SEPI	no_match				
34589061	34589061.mic.tsv	838_SEPI	no_match				
34589061	34589061.mic.tsv	196_SEPI	no_match				
