pmid	source_file	isolate_id	match_type	matched_strain	bioproject_accession	biosample_accession	sra_accession
33293382	33293382.ast_tables.tsv	AUS0325	exact	AUS0325	PRJEB40246	SAMEA7294247	ERS5052815
33293382	33293382.ast_tables.tsv	AUS0326	exact	AUS0326	PRJEB40246	SAMEA7294248	ERS5052816
33293382	33293382.ast_tables.tsv	AUS0327	exact	AUS0327	PRJEB40246	SAMEA7294249	ERS5052817
33293382	33293382.ast_tables.tsv	AUS0328	exact	AUS0328	PRJEB40246	SAMEA7294250	ERS5052818
33293382	33293382.ast_tables.tsv	AUS0329	exact	AUS0329	PRJEB40246	SAMEA7294251	ERS5052819
33293382	33293382.ast_tables.tsv	AUS0331	exact	AUS0331	PRJEB40246	SAMEA7294252	ERS5052820
33293382	33293382.ast_tables.tsv	AUS0332	exact	AUS0332	PRJEB40246	SAMEA7294253	ERS5052821
33293382	33293382.ast_tables.tsv	21162	exact	21162	PRJEB40246	SAMEA7294241	ERS5052809
33293382	33293382.ast_tables.tsv	21163	exact	21163	PRJEB40246	SAMEA7294242	ERS5052810
33293382	33293382.ast_tables.tsv	21164	exact	21164	PRJEB40246	SAMEA7294243	ERS5052811
33293382	33293382.ast_tables.tsv	21165	exact	21165	PRJEB40246	SAMEA7294244	ERS5052812
33293382	33293382.ast_tables.tsv	21166	exact	21166	PRJEB40246	SAMEA7294245	ERS5052813
33293382	33293382.ast_tables.tsv	23506	exact	23506	PRJEB40246	SAMEA7294246	ERS5052814
