pmid	file_name	sheet_name	isolate_id	bioproject_accession	biosample_accession	assembly_accession	genbank_accessions	refseq_accessions	sra_accession	other_accessions	drug	mic_sign	mic	sir_call	notes
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700924	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700924	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700925	PRJNA412108							fusidic acid	=	4		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700925	PRJNA412108							mupirocin	=	0.12		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700926	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700926	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700927	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700927	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700928	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700928	PRJNA412108							mupirocin	=	512		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700929	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700929	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700930	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700930	PRJNA412108							mupirocin	=	0.12		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700931	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700931	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700932	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700932	PRJNA412108							mupirocin	=	0.25		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700933	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700933	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700934	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700934	PRJNA412108							mupirocin	=	0.25		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700935	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700935	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700936	PRJNA412108							fusidic acid	=	4		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700936	PRJNA412108							mupirocin	=	0.12		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700937	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700937	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700938	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700938	PRJNA412108							mupirocin	=	0.12		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700939	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700939	PRJNA412108							mupirocin	=	0.25		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700940	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700940	PRJNA412108							mupirocin	=	0.25		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700941	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700941	PRJNA412108							mupirocin	=	0.12		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700942	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700942	PRJNA412108							mupirocin	=	0.25		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700943	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700943	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700944	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700944	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700945	PRJNA412108							fusidic acid	=	4		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700945	PRJNA412108							mupirocin	=	0.12		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700946	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700946	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700947	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700947	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700948	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700948	PRJNA412108							mupirocin	=	0.25		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700949	PRJNA412108							fusidic acid	=	4		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700949	PRJNA412108							mupirocin	=	0.12		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700950	PRJNA412108							fusidic acid	=	4		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700950	PRJNA412108							mupirocin	=	0.25		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700951	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700951	PRJNA412108							mupirocin	=	512		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700953	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700953	PRJNA412108							mupirocin	=	0.25		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700954	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700954	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700955	PRJNA412108							fusidic acid	=	4		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700955	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700956	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700956	PRJNA412108							mupirocin	=	0.12		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700957	PRJNA412108							fusidic acid	=	4		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700957	PRJNA412108							mupirocin	=	1024		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700958	PRJNA412108							fusidic acid	=	0.25		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700958	PRJNA412108							mupirocin	=	0.125		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700959	PRJNA412108							fusidic acid	=	8		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700959	PRJNA412108							mupirocin	=	0.25		mic_sign '=' inferred
29229636	AAC.02000-17_zac002186908s1.xlsx	Sheet1	DMG1700960	PRJNA412108							fusidic acid	=	4		mic_sign '=' inferred
