file_name	sheet_name	isolate_id	bioproject_accession	biosample_accession	assembly_accession	genbank_accessions	refseq_accessions	sra_accession	other_accessions	drug	mic_sign	mic	sir_call	notes
Table_2.XLSX	Sheet1	≤1								Amikacin	<=	8		
Table_2.XLSX	Sheet1	≤1								Ampicillin	>	32		
Table_2.XLSX	Sheet1	≤1								Ampicillin/Sulbactam	=	16/8		mic_sign '=' inferred
Table_2.XLSX	Sheet1	≤1								Aztreonam	<=	4		
Table_2.XLSX	Sheet1	≤1								Cefazolin	<=	4		
Table_2.XLSX	Sheet1	≤1								Cefepime	<=	4		
Table_2.XLSX	Sheet1	≤1								Cephalothin	=	16		mic_sign '=' inferred
Table_2.XLSX	Sheet1	≤1								Meropenem	<=	1		
Table_2.XLSX	Sheet1	≤1								Ertapenem	<=	2		
Table_2.XLSX	Sheet1	≤1								Cefuroxime	<=	4		
Table_2.XLSX	Sheet1	≤1								Gentamicin	<=	2		
Table_2.XLSX	Sheet1	≤1								Ciprofloxacin	<=	0.5		
Table_2.XLSX	Sheet1	≤1								Piperacillin/Tazobactam	<=	16/4		
Table_2.XLSX	Sheet1	≤1								Cefoxitin	<=	4		
Table_2.XLSX	Sheet1	≤1								Trimethoprim	<=	0.5/9.5		
Table_2.XLSX	Sheet1	≤1								Cefpodoxime	<=	2		
Table_2.XLSX	Sheet1	≤1								Tobramycin	<=	4		
Table_2.XLSX	Sheet1	≤1								Tigecycline	<=	1		
Table_2.XLSX	Sheet1	≤1								Ticarcillin/Clavulanic acid	<=	16/2		
Table_2.XLSX	Sheet1	≤1								Ceftriaxone	<=	1		
Table_2.XLSX	Sheet1	≤1								Tetracycline	>	16		
Table_2.XLSX	Sheet1	≤1								Colistin	=	0.5		mic_sign '=' inferred
Table_2.XLSX	Sheet1	≤1								Amikacin	<=	8		
Table_2.XLSX	Sheet1	≤1								Ampicillin	<=	4		
Table_2.XLSX	Sheet1	≤1								Ampicillin/Sulbactam	<=	4/2		
Table_2.XLSX	Sheet1	≤1								Aztreonam	<=	4		
Table_2.XLSX	Sheet1	≤1								Cefazolin	<=	4		
Table_2.XLSX	Sheet1	≤1								Cefepime	<=	4		
Table_2.XLSX	Sheet1	≤1								Cephalothin	=	8		mic_sign '=' inferred
Table_2.XLSX	Sheet1	≤1								Meropenem	<=	1		
Table_2.XLSX	Sheet1	≤1								Ertapenem	<=	2		
Table_2.XLSX	Sheet1	≤1								Cefuroxime	<=	4		
Table_2.XLSX	Sheet1	≤1								Gentamicin	<=	2		
Table_2.XLSX	Sheet1	≤1								Ciprofloxacin	<=	0.5		
Table_2.XLSX	Sheet1	≤1								Piperacillin/Tazobactam	<=	16/4		
Table_2.XLSX	Sheet1	≤1								Cefoxitin	<=	4		
Table_2.XLSX	Sheet1	≤1								Trimethoprim	<=	0.5/9.5		
Table_2.XLSX	Sheet1	≤1								Cefpodoxime	<=	2		
Table_2.XLSX	Sheet1	≤1								Tobramycin	<=	4		
Table_2.XLSX	Sheet1	≤1								Tigecycline	<=	1		
Table_2.XLSX	Sheet1	≤1								Ticarcillin/Clavulanic acid	<=	16/2		
Table_2.XLSX	Sheet1	≤1								Ceftriaxone	<=	1		
Table_2.XLSX	Sheet1	≤1								Tetracycline	=	1		mic_sign '=' inferred
Table_2.XLSX	Sheet1	≤1								Colistin	=	0.5		mic_sign '=' inferred
Table_2.XLSX	Sheet1	≤1								Amikacin	<=	8		
Table_2.XLSX	Sheet1	≤1								Ampicillin	>	32		
Table_2.XLSX	Sheet1	≤1								Ampicillin/Sulbactam	=	8/4		mic_sign '=' inferred
Table_2.XLSX	Sheet1	≤1								Aztreonam	<=	4		
Table_2.XLSX	Sheet1	≤1								Cefazolin	<=	4		
Table_2.XLSX	Sheet1	≤1								Cefepime	<=	4		
Table_2.XLSX	Sheet1	≤1								Cephalothin	=	8		mic_sign '=' inferred
Table_2.XLSX	Sheet1	≤1								Meropenem	<=	1		
Table_2.XLSX	Sheet1	≤1								Ertapenem	<=	2		
Table_2.XLSX	Sheet1	≤1								Cefuroxime	<=	4		
Table_2.XLSX	Sheet1	≤1								Gentamicin	>	16		
Table_2.XLSX	Sheet1	≤1								Ciprofloxacin	<=	0.5		
Table_2.XLSX	Sheet1	≤1								Piperacillin/Tazobactam	<=	16/4		
Table_2.XLSX	Sheet1	≤1								Cefoxitin	<=	4		
Table_2.XLSX	Sheet1	≤1								Trimethoprim	<=	0.5/9.5		
Table_2.XLSX	Sheet1	≤1								Cefpodoxime	<=	2		
Table_2.XLSX	Sheet1	≤1								Tobramycin	>	8		
Table_2.XLSX	Sheet1	≤1								Tigecycline	<=	1		
Table_2.XLSX	Sheet1	≤1								Ticarcillin/Clavulanic acid	<=	16/2		
Table_2.XLSX	Sheet1	≤1								Ceftriaxone	<=	1		
Table_2.XLSX	Sheet1	≤1								Tetracycline	=	2		mic_sign '=' inferred
Table_2.XLSX	Sheet1	≤1								Colistin	=	0.5		mic_sign '=' inferred
Table_2.XLSX	Sheet1	≤1								Amikacin	<=	8		
Table_2.XLSX	Sheet1	≤1								Ampicillin	>	32		
Table_2.XLSX	Sheet1	≤1								Ampicillin/Sulbactam	=	32/16		mic_sign '=' inferred
Table_2.XLSX	Sheet1	≤1								Aztreonam	<=	4		
Table_2.XLSX	Sheet1	≤1								Cefazolin	<=	4		
Table_2.XLSX	Sheet1	≤1								Cefepime	<=	4		
Table_2.XLSX	Sheet1	≤1								Cephalothin	=	8		mic_sign '=' inferred
Table_2.XLSX	Sheet1	≤1								Meropenem	<=	1		
Table_2.XLSX	Sheet1	≤1								Ertapenem	<=	2		
Table_2.XLSX	Sheet1	≤1								Cefuroxime	<=	4		
Table_2.XLSX	Sheet1	≤1								Gentamicin	<=	2		
Table_2.XLSX	Sheet1	≤1								Ciprofloxacin	>	4		
Table_2.XLSX	Sheet1	≤1								Piperacillin/Tazobactam	<=	16/4		
Table_2.XLSX	Sheet1	≤1								Cefoxitin	<=	4		
Table_2.XLSX	Sheet1	≤1								Trimethoprim	<=	0.5/9.5		
Table_2.XLSX	Sheet1	≤1								Cefpodoxime	<=	2		
Table_2.XLSX	Sheet1	≤1								Tobramycin	<=	4		
Table_2.XLSX	Sheet1	≤1								Tigecycline	<=	1		
