pmid	file_name	sheet_name	isolate_id	bioproject_accession	biosample_accession	assembly_accession	genbank_accessions	refseq_accessions	sra_accession	other_accessions	drug	mic_sign	mic	sir_call	notes
33658988	Table_1.xlsx	ST1	12-01739								daptomycin	=	8.0	R	mic_sign '=' inferred
33658988	Table_1.xlsx	ST1	12-01739								penicillin			R	
33658988	Table_1.xlsx	ST1	12-01739								oxacillin			R	
33658988	Table_1.xlsx	ST1	12-01739								erythromycin			R	
33658988	Table_1.xlsx	ST1	12-01739								clindamycin			I	
33658988	Table_1.xlsx	ST1	12-01739								vancomycin			R	
33658988	Table_1.xlsx	ST1	12-01739								teicoplanin			R	
33658988	Table_1.xlsx	ST1	12-01739								ciprofloxacin			R	
33658988	Table_1.xlsx	ST1	12-01739								moxifloxacin			R	
33658988	Table_1.xlsx	ST1	12-01739								daptomycin			R	
33658988	Table_1.xlsx	ST1	12-01740								daptomycin	=	8.0	R	mic_sign '=' inferred
33658988	Table_1.xlsx	ST1	12-01740								penicillin			R	
33658988	Table_1.xlsx	ST1	12-01740								oxacillin			R	
33658988	Table_1.xlsx	ST1	12-01740								erythromycin			R	
33658988	Table_1.xlsx	ST1	12-01740								clindamycin			I	
33658988	Table_1.xlsx	ST1	12-01740								vancomycin			R	
33658988	Table_1.xlsx	ST1	12-01740								teicoplanin			R	
33658988	Table_1.xlsx	ST1	12-01740								ciprofloxacin			R	
33658988	Table_1.xlsx	ST1	12-01740								moxifloxacin			R	
33658988	Table_1.xlsx	ST1	12-01740								daptomycin			R	
33658988	Table_1.xlsx	ST1	12-03872								daptomycin	=	8.0	R	mic_sign '=' inferred
33658988	Table_1.xlsx	ST1	12-03872								penicillin			R	
33658988	Table_1.xlsx	ST1	12-03872								oxacillin			R	
33658988	Table_1.xlsx	ST1	12-03872								gentamicin			R	
33658988	Table_1.xlsx	ST1	12-03872								erythromycin			R	
33658988	Table_1.xlsx	ST1	12-03872								clindamycin			I	
33658988	Table_1.xlsx	ST1	12-03872								ciprofloxacin			R	
33658988	Table_1.xlsx	ST1	12-03872								mupirocin			R	
33658988	Table_1.xlsx	ST1	12-03872								moxifloxacin			R	
33658988	Table_1.xlsx	ST1	12-03872								daptomycin			R	
