pmid	file_name	sheet_name	isolate_id	bioproject_accession	biosample_accession	assembly_accession	genbank_accessions	refseq_accessions	sra_accession	other_accessions	drug	mic_sign	mic	sir_call	notes
34589061	Table_2.XLSX	PATRIC	LRKNS080	PRJNA314440	SAMN04940127	GCF_001658655.1	LXRP00000000				linezolid			R	
34589061	Table_2.XLSX	PATRIC	Scl31	PRJNA207995	SAMN02470525	GCA_000418085.2	ATDD00000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	Scl25	PRJNA207994	SAMN02470524	GCA_000418065.2	ATDC00000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	KEB09	PRJNA319645	SAMN05173251	GCF_001658605.1	LYQF00000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	VCU105	PRJNA53739	SAMN00116831	GCA_000221685.2	AFTZ00000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	JCM 2414	PRJDB677	SAMD00000465	GCF_001310935.1	BAZV01000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	978_SEPI	PRJNA267549	SAMN03198198	GCF_001076045.1	JULG01000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	LRKNS081	PRJNA314440	SAMN04940133	GCF_001658625.1	LXRQ00000000				linezolid			R	
34589061	Table_2.XLSX	PATRIC	949_S8	PRJNA274731	SAMN03339004	GCA_000934225.1	CP010942				linezolid			S	
34589061	Table_2.XLSX	PATRIC	ET-024	PRJNA241149	SAMN02688504	GCF_000685135.1	JGVL01000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	UBA4169	PRJNA348753	SAMN06451752	GCA_002380435.1	DFVD01000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	SNUC 1209	PRJNA342349	SAMN06172985	GCA_003035345.1	PYZC01000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	SNUC 4029	PRJNA342349	SAMN06172999	GCA_003035685.1	PYYS01000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	NIHLM020	PRJNA62375	SAMN00993291	GCA_000276265.1	AKGW00000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	VCU081	PRJNA53735	SAMN00117450	GCA_000245695.2	AHLU00000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	Qt1p44	PRJNA319644	SAMN05150063	GCF_001658525.1	LYQE00000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	SNUC 5038	PRJNA342349	SAMN06173001	GCA_003035645.1	PYYR01000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	VCU109	PRJNA53741	SAMN00116832	GCA_000221665.2	AFUA00000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	916_SEPI	PRJNA267549	SAMN03198127	GCF_001075255.1	JUNZ01000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	ACEF09	PRJNA319642	SAMN04962889	GCF_001658965.1	LYSA00000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	MTCC 3382	PRJNA293017	SAMN03996083	GCF_001412455.1	LILE01000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	NIHLM067	PRJNA62353	SAMN00993237	GCA_000276465.1	AKGM00000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	917_2_SEPI	PRJNA267549	SAMN03198128	GCF_001075295.1	JUNY01000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	M26	PRJNA319645	SAMN05194380	GCF_001659515.1	LYWH00000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	695_SEPI	PRJNA267549	SAMN03197899	GCF_001073995.1	JUWT01000000				linezolid			S	
34589061	Table_2.XLSX	PATRIC	DAR5153	PRJNA308322	SAMN07444330	GCA_002908545.1	NQHO01000000				linezolid			S	
