pmid	file_name	sheet_name	isolate_id	bioproject_accession	biosample_accession	assembly_accession	genbank_accessions	refseq_accessions	sra_accession	other_accessions	drug	mic_sign	mic	sir_call	notes
33293382	TABLE_1.tsv	TABLE_1	AUS0325	PRJEB40246	SAMEA7294247				ERS5052815		oxacillin	=	0.5		mic_sign '=' inferred
33293382	TABLE_1.tsv	TABLE_1	AUS0326	PRJEB40246	SAMEA7294248				ERS5052816		oxacillin	=	1.0		mic_sign '=' inferred
33293382	TABLE_1.tsv	TABLE_1	AUS0327	PRJEB40246	SAMEA7294249				ERS5052817		oxacillin	=	1.0		mic_sign '=' inferred
33293382	TABLE_1.tsv	TABLE_1	AUS0328	PRJEB40246	SAMEA7294250				ERS5052818		oxacillin	=	1.0		mic_sign '=' inferred
33293382	TABLE_1.tsv	TABLE_1	AUS0329	PRJEB40246	SAMEA7294251				ERS5052819		oxacillin	=	1.0		mic_sign '=' inferred
33293382	TABLE_1.tsv	TABLE_1	AUS0331	PRJEB40246	SAMEA7294252				ERS5052820		oxacillin	=	1.0		mic_sign '=' inferred
33293382	TABLE_1.tsv	TABLE_1	AUS0332	PRJEB40246	SAMEA7294253				ERS5052821		oxacillin	=	1.0		mic_sign '=' inferred
33293382	TABLE_1.tsv	TABLE_1	21162	PRJEB40246	SAMEA7294241				ERS5052809		oxacillin	=	0.25		mic_sign '=' inferred
33293382	TABLE_1.tsv	TABLE_1	21163	PRJEB40246	SAMEA7294242				ERS5052810		oxacillin	=	4.0		mic_sign '=' inferred
33293382	TABLE_1.tsv	TABLE_1	21164	PRJEB40246	SAMEA7294243				ERS5052811		oxacillin	=	0.25		mic_sign '=' inferred
33293382	TABLE_1.tsv	TABLE_1	21165	PRJEB40246	SAMEA7294244				ERS5052812		oxacillin	=	2.0		mic_sign '=' inferred
33293382	TABLE_1.tsv	TABLE_1	21166	PRJEB40246	SAMEA7294245				ERS5052813		oxacillin	=	0.25		mic_sign '=' inferred
33293382	TABLE_1.tsv	TABLE_1	23506	PRJEB40246	SAMEA7294246				ERS5052814		oxacillin	=	0.5		mic_sign '=' inferred
