pmid	file_name	sheet_name	isolate_id	bioproject_accession	biosample_accession	assembly_accession	genbank_accessions	refseq_accessions	sra_accession	other_accessions	drug	mic_sign	mic	sir_call	notes
28704546	pone.0181072.s001.xlsx	Sheet1	1								penicillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								oxacillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								gentamicin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								kanamycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								tobramycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								ciprofloxacin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								erythromycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	1								clindamycin	=	0.25	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	1								linezolid	=	2	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	1								teicoplanin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								vancomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								tetracycline			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								fosfomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								fusidic acid			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								mupirocin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								chloramphenicol			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								rifampin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								trimethoprim/sulfamethoxazole			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								penicillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								oxacillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								gentamicin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								kanamycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								tobramycin	=	8	R	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	1								ciprofloxacin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								erythromycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	1								clindamycin	=	0.25	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	1								linezolid	=	2	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	1								teicoplanin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								vancomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								tetracycline			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								fosfomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								fusidic acid			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								mupirocin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								chloramphenicol			R	
28704546	pone.0181072.s001.xlsx	Sheet1	1								rifampin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	1								trimethoprim/sulfamethoxazole			S	
28704546	pone.0181072.s001.xlsx	Sheet1	3								penicillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	3								oxacillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	3								gentamicin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	3								kanamycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	3								tobramycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	3								ciprofloxacin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	3								erythromycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	3								clindamycin	=	0.25	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	3								linezolid	=	2	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	3								teicoplanin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	3								vancomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	3								tetracycline			R	
28704546	pone.0181072.s001.xlsx	Sheet1	3								fosfomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	3								fusidic acid			S	
28704546	pone.0181072.s001.xlsx	Sheet1	3								mupirocin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	3								chloramphenicol			R	
28704546	pone.0181072.s001.xlsx	Sheet1	3								rifampin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	3								trimethoprim/sulfamethoxazole			S	
28704546	pone.0181072.s001.xlsx	Sheet1	4								penicillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	4								oxacillin	=	0.5	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	4								gentamicin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	4								kanamycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	4								tobramycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	4								ciprofloxacin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	4								erythromycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	4								clindamycin	=	0.25	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	4								linezolid	=	2	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	4								teicoplanin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	4								vancomycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	4								tetracycline			R	
28704546	pone.0181072.s001.xlsx	Sheet1	4								fosfomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	4								fusidic acid			S	
28704546	pone.0181072.s001.xlsx	Sheet1	4								mupirocin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	4								chloramphenicol	=	8	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	4								rifampin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	4								trimethoprim/sulfamethoxazole			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								penicillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								oxacillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								gentamicin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								kanamycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								tobramycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								ciprofloxacin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								erythromycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	5								clindamycin	=	0.25	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	5								linezolid	=	2	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	5								teicoplanin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								vancomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								tetracycline			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								fosfomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								fusidic acid			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								mupirocin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								chloramphenicol			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								rifampin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								trimethoprim/sulfamethoxazole			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								penicillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								oxacillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								gentamicin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								kanamycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								tobramycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								ciprofloxacin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								erythromycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	5								clindamycin	=	0.25	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	5								linezolid	=	2	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	5								teicoplanin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								vancomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								tetracycline			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								fosfomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								fusidic acid			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								mupirocin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								chloramphenicol			R	
28704546	pone.0181072.s001.xlsx	Sheet1	5								rifampin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	5								trimethoprim/sulfamethoxazole			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								penicillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	8								oxacillin	=	0.5	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	8								gentamicin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								kanamycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								tobramycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								ciprofloxacin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								erythromycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	8								clindamycin	=	0.25	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	8								linezolid	=	2	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	8								teicoplanin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								vancomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								tetracycline			R	
28704546	pone.0181072.s001.xlsx	Sheet1	8								fosfomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								fusidic acid			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								mupirocin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								chloramphenicol	=	8	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	8								rifampin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								trimethoprim/sulfamethoxazole			R	
28704546	pone.0181072.s001.xlsx	Sheet1	8								penicillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	8								oxacillin	=	0.5	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	8								gentamicin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								kanamycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								tobramycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								ciprofloxacin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								erythromycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	8								clindamycin	=	0.25	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	8								linezolid	=	2	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	8								teicoplanin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								vancomycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	8								tetracycline			R	
28704546	pone.0181072.s001.xlsx	Sheet1	8								fosfomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								fusidic acid			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								mupirocin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								chloramphenicol	=	8	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	8								rifampin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	8								trimethoprim/sulfamethoxazole			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								penicillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								oxacillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								gentamicin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								kanamycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								tobramycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								ciprofloxacin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								erythromycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	12								clindamycin	=	0.25	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	12								linezolid	=	2	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	12								teicoplanin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								vancomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								tetracycline			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								fosfomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								fusidic acid			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								mupirocin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								chloramphenicol			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								rifampin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								trimethoprim/sulfamethoxazole			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								penicillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								oxacillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								gentamicin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								kanamycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								tobramycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								ciprofloxacin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								erythromycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	12								clindamycin	=	0.25	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	12								linezolid	=	2	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	12								teicoplanin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								vancomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								tetracycline			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								fosfomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								fusidic acid			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								mupirocin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								chloramphenicol			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								rifampin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								trimethoprim/sulfamethoxazole			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								penicillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								oxacillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								gentamicin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								kanamycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								tobramycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								ciprofloxacin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								erythromycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	12								clindamycin	=	0.25	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	12								linezolid	=	2	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	12								teicoplanin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								vancomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								tetracycline			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								fosfomycin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								fusidic acid			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								mupirocin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								chloramphenicol			R	
28704546	pone.0181072.s001.xlsx	Sheet1	12								rifampin			S	
28704546	pone.0181072.s001.xlsx	Sheet1	12								trimethoprim/sulfamethoxazole			S	
28704546	pone.0181072.s001.xlsx	Sheet1	13								penicillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	13								oxacillin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	13								gentamicin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	13								kanamycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	13								tobramycin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	13								ciprofloxacin			R	
28704546	pone.0181072.s001.xlsx	Sheet1	13								erythromycin	=	1	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	13								clindamycin	=	0.25	S	mic_sign '=' inferred
28704546	pone.0181072.s001.xlsx	Sheet1	13								linezolid	=	2	S	mic_sign '=' inferred
