pubmed_id	isolate_name	accession	accession_type	organism	drug_standardized	drug_raw	mic_operator	mic_value	mic_units	sir_call	breakpoint_standard	laboratory_typing_method	source_location	confidence
34907895	AUSMDU00009126	SAMN18618536	BioSample	Salmonella enterica	ampicillin	ampicillin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
34907895	AUSMDU00018695	SAMN18619878	BioSample	Salmonella enterica	ampicillin	ampicillin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
34907895	AUSMDU00021035	SAMN18618754	BioSample	Salmonella enterica	ampicillin	ampicillin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
34907895	AUSMDU00016310	SAMN18619029	BioSample	Salmonella enterica	azithromycin	azithromycin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
34907895	AUSMDU00033037	SAMN18617297	BioSample	Salmonella enterica	ampicillin	ampicillin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
34907895	AUSMDU00007957	SAMN07739220	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
34907895	AUSMDU00018041	SAMN18619753	BioSample	Salmonella enterica	ampicillin	ampicillin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
34907895	AUSMDU00020635	SAMN18619267	BioSample	Salmonella enterica	azithromycin	azithromycin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
34907895	AUSMDU00004748	SAMN18618325	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
34907895	AUSMDU00020979	SAMN18619298	BioSample	Salmonella enterica	azithromycin	azithromycin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
34907895	AUSMDU00008729	SAMN07739282	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
34907895	AUSMDU00017564	SAMN18619145	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
34907895	AUSMDU00015862	SAMN18618791	BioSample	Salmonella enterica	azithromycin	azithromycin	=		µg/mL	Susceptible	CLSI	Agar dilution	bv_brc_genome_amr	high
