pubmed_id	isolate_name	accession	accession_type	organism	drug_standardized	drug_raw	mic_operator	mic_value	mic_units	sir_call	breakpoint_standard	laboratory_typing_method	source_location	confidence
31266463	S00454-11	ERR1251661	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	2.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S01117-00	ERR1251639	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.25	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	L00461-07	ERR1251774	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S07497-96	ERR1251408	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.25	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S06756-00	ERR1251381	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S05339-97	ERR1251396	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S00039-03	ERR1251674	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S06618-99	ERR1334874	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	8.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S04635-04	ERR1251467	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S00478-13	ERR1251670	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S07102-03	ERR1334887	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	2.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S04294-03	ERR1251504	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	64.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S00795-02	ERR1251669	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	L00777-11	ERR1251785	SRA_Run	Salmonella enterica	ampicillin	ampicillin	<=	1.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S04322-99	ERR1251473	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S04246-97	ERR1251502	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	2.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S00399-10	ERR1251654	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	2.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S06216-03	ERR1251542	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	64.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S06216-03	ERR1251542	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	L00777-11	ERR1251785	SRA_Run	Salmonella enterica	ampicillin	ampicillin	<=	0.25	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S00430-01	ERR1251667	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S07625-03	ERR1251420	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.25	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S04790-97	ERR1251525	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S04066-03	ERR1251512	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	64.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S06290-02	ERR1251543	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.5	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S00285-01	ERR1251683	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S03274-06	ERR1251495	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.25	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S00795-02	ERR1251669	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S07625-03	ERR1251420	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.25	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S04246-97	ERR1251502	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	0.5	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S09202-95	ERR1251446	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	0.5	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	L00738-11	ERR1251716	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	2.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S03924-11	ERR1251478	SRA_Run	Salmonella enterica	ampicillin	ampicillin	<=	0.25	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S02347-12	ERR1251582	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	L00911-05	ERR1251692	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S07452-95	ERR1251748	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S06036-03	ERR1251538	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S02185-06	ERR1251609	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	L00746-11	ERR1251718	SRA_Run	Salmonella enterica	ampicillin	ampicillin	<=	0.25	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	L00777-11	ERR1251785	SRA_Run	Salmonella enterica	ampicillin	ampicillin	<=	1.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S02159-07	ERR1251598	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S04322-99	ERR1251473	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S06618-99	ERR1334874	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	0.5	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S03120-13	ERR1251767	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S10543-93	ERR1251565	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S07053-03	ERR1334886	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.25	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S01119-14	ERR1251641	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S07896-03	ERR1251421	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S00430-01	ERR1251667	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S09202-95	ERR1251446	SRA_Run	Salmonella enterica	ampicillin	ampicillin	<=	1.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S01710-04	ERR1251625	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S09211-02	ERR1251453	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S05247-14	ERR1251385	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S01761-00	ERR1251596	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	L00746-11	ERR1251718	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	2.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S03195-14	ERR1251491	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S07452-95	ERR1251748	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S01710-04	ERR1251625	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S09211-02	ERR1251453	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S04173-01	ERR1251510	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S04055-07	ERR1251479	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	8.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S01566-00	ERR1251620	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	1.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S07497-96	ERR1251408	SRA_Run	Salmonella enterica	ampicillin	ampicillin	<=	1.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S01761-00	ERR1251596	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S04066-03	ERR1251512	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	L01210-11	ERR1251700	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	0.5	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S03274-06	ERR1251495	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	0.5	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S03040-10	ERR1251769	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.5	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	L01443-09	ERR1251696	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S04322-99	ERR1251473	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S06719-94	ERR1251380	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S00039-03	ERR1251674	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S00795-02	ERR1251669	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S01194-08	ERR1251627	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.5	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	L00738-11	ERR1251716	SRA_Run	Salmonella enterica	ampicillin	ampicillin	<=	0.25	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S09211-02	ERR1251453	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S10543-93	ERR1251565	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S03883-00	ERR1251484	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S08457-97	ERR1251416	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	L00886-06	ERR1251793	SRA_Run	Salmonella enterica	ampicillin	ampicillin	<=	1.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S07623-03	ERR1251410	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	64.0	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S05247-14	ERR1251385	SRA_Run	Salmonella enterica	ampicillin	ampicillin	>	128.0	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S08761-96	ERR1251417	SRA_Run	Salmonella enterica	ampicillin	ampicillin	=	0.5	mg/L		eucast	Agar dilution	bv_brc_genome_amr	high
31266463	S09281-99	ERR1251458	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.25	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	S01194-08	ERR1251627	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.5	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
31266463	L00911-05	ERR1251692	SRA_Run	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L		eucast	Broth dilution	bv_brc_genome_amr	high
