pubmed_id	isolate_name	accession	accession_type	organism	drug_standardized	drug_raw	mic_operator	mic_value	mic_units	sir_call	breakpoint_standard	laboratory_typing_method	source_location	confidence
37316492	70366	SAMEA5976362	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	=		µg/mL	Intermediate	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	H0637404447	SAMEA5976367	BioSample	Salmonella enterica	azithromycin	azithromycin	=		µg/mL	Susceptible	CLSI		bv_brc_genome_amr	high
37316492	1020163	SAMEA5976348	BioSample	Salmonella enterica	azithromycin	azithromycin	=		µg/mL	Susceptible	CLSI		bv_brc_genome_amr	high
37316492	H061980337	SAMEA5976366	BioSample	Salmonella enterica	ampicillin	ampicillin	=		µg/mL	Resistant	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	H041100279	SAMEA5976351	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	=		µg/mL	Susceptible	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	53306	SAMEA5976375	BioSample	Salmonella enterica	ampicillin	ampicillin	=		µg/mL	Resistant	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	70367	SAMEA5976361	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	=		µg/mL	Susceptible	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	550813	SAMN10458659	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	=		µg/mL	Susceptible	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	24994	SAMN03475765	BioSample	Salmonella enterica	ampicillin	ampicillin	=		µg/mL	Susceptible	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	397607	SAMEA5976380	BioSample	Salmonella enterica	ampicillin	ampicillin	=		µg/mL	Resistant	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	70349	SAMEA5976354	BioSample	Salmonella enterica	azithromycin	azithromycin	=		µg/mL	Susceptible	CLSI		bv_brc_genome_amr	high
37316492	H061980337	SAMEA5976366	BioSample	Salmonella enterica	azithromycin	azithromycin	=		µg/mL	Susceptible	CLSI		bv_brc_genome_amr	high
37316492	186605	SAMN11096947	BioSample	Salmonella enterica	ampicillin	ampicillin	=		µg/mL	Susceptible	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	50142	SAMEA5976347	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	=		µg/mL	Resistant	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	747829	SAMN11885456	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	=		µg/mL	Susceptible	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	60329	SAMEA5976349	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	=		µg/mL	Resistant	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	0607F10	SAMEA5976342	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	=		µg/mL	Resistant	clsi	Broth dilution	bv_brc_genome_amr	high
37316492	140405II	SAMEA5976372	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	=		µg/mL	Susceptible	clsi	Broth dilution	bv_brc_genome_amr	high
