pubmed_id	isolate_name	accession	accession_type	organism	drug_standardized	drug_raw	mic_operator	mic_value	mic_units	sir_call	breakpoint_standard	laboratory_typing_method	source_location	confidence
27381390	CVM 43767	SAMN02911936	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N42512	SAMN02699362	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	>	32.0	mg/L	Resistant	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N46847	SAMN03894226	BioSample	Salmonella enterica	ampicillin	ampicillin	>	32.0	mg/L	Resistant	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N40395	SAMN02699318	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	>	32.0	mg/L	Resistant	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N37918	SAMN02699267	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	<=	1.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N51311	SAMN03894402	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM 43844	SAMN02912013	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	<=	1.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N42235	SAMN02699338	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N50439	SAMN03894319	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	<=	1.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N43455	SAMN03894064	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	=	32.0	mg/L	Resistant	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N51243	SAMN03894334	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	<=	0.25	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM 43766	SAMN02911935	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N30696	SAMN02699226	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM 43758	SAMN02911927	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N43459	SAMN03894068	BioSample	Salmonella enterica	azithromycin	azithromycin	=	2.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N51310	SAMN03894401	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
