file_name	sheet_name	isolate_id	accession	drug	mic_sign	mic	sir_call	notes
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	AMP	>	32		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	AMC	=	8		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	CRO	<=	0.25		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	AZM	=	4		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	CHL	=	4		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	CIP	<=	0.015		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	SXT	<=	0.12		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	FIS	>	256		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	FOX	=	2		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	GEN	=	0.5		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	NAL	=	2		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	STR	>	64		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	TET	<=	4		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0018	JYPM00000000	TIO	=	1		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	AMP	>	32		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	AMC	=	8		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	CRO	<=	0.25		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	AZM	=	4		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	CHL	=	8		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	CIP	=	0.03		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	SXT	<=	0.12		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	FIS	>	256		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	FOX	=	2		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	GEN	<=	0.25		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	NAL	=	4		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	STR	=	64		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	TET	>	32		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0159	JYPN00000000	TIO	=	1		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	AMP	>	32		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	AMC	=	4		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	CRO	<=	0.25		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	AZM	=	2		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	CHL	>	32		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	CIP	<=	0.015		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	SXT	<=	0.12		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	FIS	>	256		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	FOX	=	1		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	GEN	=	16		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	NAL	=	1		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	STR	>	64		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	TET	=	16		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0175	JYPO00000000	TIO	=	0.5		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0176	JYPP00000000	AMP	>	32		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0176	JYPP00000000	AMC	=	8		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0176	JYPP00000000	CRO	<=	0.25		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0176	JYPP00000000	AZM	=	4		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0176	JYPP00000000	CHL	=	8		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0176	JYPP00000000	CIP	<=	0.015		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0176	JYPP00000000	SXT	=	0.25		
AAC.01030-16_zac009165488sd2.xlsx	Table S2	2012AM-0176	JYPP00000000	FIS	>	256		
