file_name	sheet_name	isolate_id	accession	drug	mic_sign	mic	sir_call	notes
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01145-94		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01145-94		CIP	<=	0.015		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01145-94		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01145-94		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01145-94		STR	=	8.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01145-94		SMX	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01145-94		SXT	<=	0.12		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01145-94		SUL	<=	16.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01145-94		TET	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01145-94		TRI	<=	0.25		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S06719-94		AMP	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S06719-94		CHL	>	128.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S06719-94		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S06719-94		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S06719-94		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S06719-94		STR	=	64.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S06719-94		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S06719-94		SXT	=	0.25		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S06719-94		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S06719-94		TET	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S06719-94		TRI	=	0.5		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07452-95		AMP	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07452-95		CHL	=	128.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07452-95		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07452-95		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07452-95		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07452-95		STR	=	64.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07452-95		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07452-95		SXT	=	0.25		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07452-95		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07452-95		TET	=	32.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07452-95		TRI	<=	0.25		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07591-95		AMP	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07591-95		CHL	>	128.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07591-95		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07591-95		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07591-95		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07591-95		STR	=	64.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07591-95		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07591-95		SXT	=	0.5		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07591-95		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07591-95		TET	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07591-95		TRI	=	0.5		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09202-95		AMP	<=	1.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09202-95		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09202-95		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09202-95		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09202-95		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09202-95		STR	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09202-95		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09202-95		SXT	>	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09202-95		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09202-95		TET	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09202-95		TRI	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10023-95		AMP	<=	1.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10023-95		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10023-95		CIP	=	0.25		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10023-95		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10023-95		NAL	>	128.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10023-95		STR	=	8.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10023-95		SMX	=	16.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10023-95		SXT	<=	0.12		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10023-95		SUL	<=	16.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10023-95		TET	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S10023-95		TRI	<=	0.25		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07487-96		AMP	=	2.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07487-96		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07487-96		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07487-96		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07487-96		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07487-96		STR	=	4.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07487-96		SMX	=	64.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07487-96		SXT	<=	0.12		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07487-96		SUL	=	128.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07487-96		TET	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07487-96		TRI	=	0.5		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07497-96		AMP	<=	1.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07497-96		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07497-96		CIP	=	0.25		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07497-96		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07497-96		NAL	>	128.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07497-96		STR	=	64.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07497-96		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07497-96		SXT	=	0.25		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07497-96		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07497-96		TET	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S07497-96		TRI	<=	0.25		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08761-96		AMP	=	4.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08761-96		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08761-96		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08761-96		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08761-96		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08761-96		STR	=	8.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08761-96		SMX	=	64.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08761-96		SXT	<=	0.12		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08761-96		SUL	=	256.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08761-96		TET	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08761-96		TRI	=	0.5		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S11013-96		AMP	=	2.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S11013-96		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S11013-96		CIP	<=	0.015		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S11013-96		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S11013-96		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S11013-96		STR	=	64.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S11013-96		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S11013-96		SXT	=	0.25		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S11013-96		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S11013-96		TET	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S11013-96		TRI	=	0.5		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04246-97		AMP	=	2.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04246-97		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04246-97		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04246-97		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04246-97		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04246-97		STR	=	8.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04246-97		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04246-97		SXT	>	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04246-97		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04246-97		TET	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04246-97		TRI	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04790-97		AMP	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04790-97		CHL	>	128.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04790-97		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04790-97		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04790-97		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04790-97		STR	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04790-97		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04790-97		SXT	=	0.5		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04790-97		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04790-97		TET	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S04790-97		TRI	=	0.5		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S05339-97		AMP	<=	1.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S05339-97		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S05339-97		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S05339-97		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S05339-97		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S05339-97		STR	=	64.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S05339-97		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S05339-97		SXT	=	0.25		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S05339-97		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S05339-97		TET	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S05339-97		TRI	<=	0.25		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08457-97		AMP	<=	1.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08457-97		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08457-97		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08457-97		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08457-97		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08457-97		STR	=	8.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08457-97		SMX	=	32.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08457-97		SXT	<=	0.12		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08457-97		SUL	=	64.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08457-97		TET	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08457-97		TRI	<=	0.25		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09137-97		AMP	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09137-97		CHL	>	128.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09137-97		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09137-97		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09137-97		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09137-97		STR	=	64.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09137-97		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09137-97		SXT	=	0.25		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09137-97		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09137-97		TET	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S09137-97		TRI	<=	0.25		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01591-98		AMP	=	2.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01591-98		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01591-98		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01591-98		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01591-98		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01591-98		STR	=	16.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01591-98		SMX	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01591-98		SXT	<=	0.12		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01591-98		SUL	<=	16.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01591-98		TET	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01591-98		TRI	<=	0.25		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01727-98		AMP	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01727-98		CHL	>	128.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01727-98		CIP	=	0.03		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01727-98		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01727-98		NAL	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01727-98		STR	=	64.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01727-98		SMX	>	1024.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01727-98		SXT	=	0.25		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01727-98		SUL	>	256.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01727-98		TET	>	32.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01727-98		TRI	<=	0.25		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08887-98		AMP	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08887-98		CHL	<=	8.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08887-98		CIP	=	0.25		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08887-98		GEN	<=	0.5		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08887-98		NAL	>	128.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08887-98		STR	=	8.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08887-98		SMX	=	32.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08887-98		SXT	<=	0.12		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08887-98		SUL	=	32.0		mic_sign '=' inferred
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08887-98		TET	<=	4.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S08887-98		TRI	<=	0.25		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01131-99		AMP	>	64.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01131-99		CHL	>	128.0		
12866_2019_1520_MOESM1_ESM.xlsx	Table S2	S01131-99		CIP	=	0.06		mic_sign '=' inferred
