# Table 2.: Prevalence of antimicrobial resistance in the sequenced S. haemolyticus collection according to geographical origin
Country	Number	Presence of genes and mutations conferring antimicrobial resistance (%)
GEN	ERY	OXA	FUS	TET	CIP	RIF	TMP	QAC	FOF
Belgium	2	100	100	100	100	100	100	0	100	100	0
Germany	10	90	90	90	40	10	90	20	40	90	50
Japan	14	64	64	100	0	43	57	0	0	21	46
Norway	54	83	74	83	35	30	41	0	11	69	7
Spain	2	100	50	100	50	50	100	0	100	50	0
Switzerland	43	79	90	70	42	28	63	2	12	79	33
UK	9	78	78	78	44	67	67	22	56	78	22
USA	1	100	0	100	0	0	0	0	0	0	0
