Supplementary Dataset 2																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clonal Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_A2	ERR234835	ERS398036	xylosus														
St_A2	ERR234844	ERS398036	sciuri														
St_A2	ERR234858	ERS398036	xylosus														
St_A2	ERR234860	ERS398036	fleurettii														
St_A2	ERR234867	ERS398036	equorum														
St_A2	ERR234874	ERS398036	cohnii														
St_A2	ERR234875	ERS398036	xylosus														
St_A2	ERR234891	ERS398036	xylosus														
St_A2	ERR257000	ERS398036	pseudintermedius														
St_A2	ERR294275	ERS398036	fleurettii														
St_A2	ERR294278	ERS398036	fleurettii														
St_A2	ERR294280	ERS398036	fleurettii														
St_A2	ERR294367	ERS398036	pseudintermedius														
St_A2	ERR310922	ERS398036	pseudintermedius														
St_A2	ERR387123	ERS398036	schleiferi														
St_A2	ERR387151	ERS398036	cohnii														
St_A2	ERR387154	ERS398036	cohnii														
St_A2	ERR387161	ERS398036	carnosus														
St_A2	ERR387231	ERS398036	cohnii														
St_A2	ERR387234	ERS398036	cohnii														
St_A2	ERR387243	ERS398036	cohnii														
St_A2	ERR387249	ERS398036	cohnii														
St_A2	ERR387255	ERS398036	auricularis														
St_A2	ERR490564	ERS398036	sciuri														
St_A2	SRR013442	ERS398036	hominis														
St_A2	SRR014816	ERS398036	epidermidis														
St_A2	SRR014845	ERS398036	caprae														
St_A2	SRR022555	ERS398036	capitis														
St_A2	SRR022708	ERS398036	hominis														
St_A2	SRR070583	ERS398036	epidermidis														
St_A2	SRR070586	ERS398036	lugdunensis														
St_A2	SRR070611	ERS398036	epidermidis														
St_A2	SRR070613	ERS398036	capitis														
St_A2	SRR070619	ERS398036	lugdunensis														
St_A2	SRR070626	ERS398036	warneri														
St_A2	SRR070627	ERS398036	epidermidis														
St_A2	SRR070632	ERS398036	pettenkoferi														
St_A2	SRR070635	ERS398036	epidermidis														
St_A2	SRR070641	ERS398036	epidermidis														
St_A2	SRR071322	ERS398036	epidermidis														
St_A2	SRR071324	ERS398036	lugdunensis														
St_A2	SRR071326	ERS398036	epidermidis														
St_A2	SRR071335	ERS398036	epidermidis														
St_A2	SRR071338	ERS398036	epidermidis														
St_A2	SRR074110	ERS398036	epidermidis														
St_A2	SRR1179064	ERS398036	warneri														
St_A2	SRR1182398	ERS398036	epidermidis														
St_A2	SRR1182400	ERS398036	epidermidis														
St_A2	SRR1182402	ERS398036	epidermidis														
St_A2	SRR1182412	ERS398036	epidermidis														
St_A2	SRR1182414	ERS398036	epidermidis														
St_A2	SRR1182416	ERS398036	epidermidis														
St_A2	SRR1182418	ERS398036	epidermidis														
St_A2	SRR1182420	ERS398036	epidermidis														
St_A2	SRR1182422	ERS398036	epidermidis														
St_A2	SRR1182424	ERS398036	epidermidis														
St_A2	SRR1182427	ERS398036	haemolyticus														
St_A2	SRR1182429	ERS398036	haemolyticus														
St_A2	SRR1182431	ERS398036	haemolyticus														
St_A2	SRR1518638	ERS398036	haemolyticus														
St_A2	SRR1560245	ERS398036	epidermidis														
St_A2	SRR1560247	ERS398036	epidermidis														
St_A2	SRR1560249	ERS398036	epidermidis														
St_A2	SRR1609103	ERS398036	epidermidis														
St_A2	SRR1609105	ERS398036	epidermidis														
St_A2	SRR326175	ERS398036	lugdunensis														
St_A2	SRR326178	ERS398036	simulans														
St_A2	SRR339986	ERS398036	epidermidis														
St_A2	SRR364813	ERS398036	lugdunensis														
St_A2	SRR495410	ERS398036	epidermidis														
St_A2	SRR495423	ERS398036	epidermidis														
St_A2	SRR495433	ERS398036	epidermidis														
St_A2	SRR496439	ERS398036	epidermidis														
St_A2	SRR496455	ERS398036	epidermidis														
St_A2	SRR496459	ERS398036	epidermidis														
St_A2	SRR496461	ERS398036	epidermidis														
St_A2	SRR496464	ERS398036	epidermidis														
St_A2	SRR496466	ERS398036	epidermidis														
St_A2	SRR496471	ERS398036	epidermidis														
St_A2	SRR496501	ERS398036	epidermidis														
St_A2	SRR496504	ERS398036	epidermidis														
St_A2	SRR496507	ERS398036	epidermidis														
St_A2	SRR496509	ERS398036	epidermidis														
St_A2	SRR496511	ERS398036	epidermidis														
St_A2	SRR496760	ERS398036	epidermidis														
St_A2	SRR496762	ERS398036	epidermidis														
St_A2	SRR496890	ERS398036	epidermidis														
St_A2	SRR496987	ERS398036	epidermidis														
St_A2	SRR497067	ERS398036	epidermidis														
St_A2	SRR515125	ERS398036	simulans														
St_A2	SRR536861	ERS398036	epidermidis														
St_A2	SRR755164	ERS398036	epidermidis														
St_A2	SRR755169	ERS398036	lugdunensis														
St_A2	SRR755181	ERS398036	haemolyticus														
St_A2	SRR755182	ERS398036	epidermidis														
St_A2	SRR755238	ERS398036	epidermidis														
St_A2	SRR755261	ERS398036	epidermidis														
St_A2	SRR755279	ERS398036	epidermidis														
St_A2	SRR755280	ERS398036	haemolyticus														
St_A2	SRR755303	ERS398036	epidermidis														
St_A2	SRR755361	ERS398036	lugdunensis														
