Supplementary Data 11													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
M_SRA	ERR374195	ERR374195	Mycobacterium abscessus										
M_SRA	ERR459771	ERR459771	Mycobacterium abscessus										
M_SRA	ERR459803	ERR459803	Mycobacterium abscessus										
M_SRA	ERR459835	ERR459835	Mycobacterium abscessus										
M_SRA	ERR459867	ERR459867	Mycobacterium abscessus										
M_SRA	ERR459899	ERR459899	Mycobacterium abscessus										
M_SRA	ERR459931	ERR459931	Mycobacterium abscessus										
M_SRA	ERR459963	ERR459963	Mycobacterium abscessus										
M_SRA	ERR459995	ERR459995	Mycobacterium abscessus										
M_SRA	ERR460027	ERR460027	Mycobacterium abscessus										
M_SRA	ERR460059	ERR460059	Mycobacterium abscessus										
M_SRA	ERR460091	ERR460091	Mycobacterium abscessus										
M_SRA	ERR484964	ERR484964	Mycobacterium abscessus										
M_SRA	ERR484996	ERR484996	Mycobacterium abscessus										
M_SRA	ERR490689	ERR490689	Mycobacterium abscessus										
M_SRA	ERR494848	ERR494848	Mycobacterium abscessus										
M_SRA	ERR494880	ERR494880	Mycobacterium abscessus										
M_SRA	ERR494912	ERR494912	Mycobacterium abscessus										
M_SRA	ERR494944	ERR494944	Mycobacterium abscessus										
M_SRA	ERR494976	ERR494976	Mycobacterium abscessus										
M_SRA	SRR315368	SRR315368	Mycobacterium abscessus										
M_SRA	SRR341226	SRR341226	Mycobacterium abscessus										
M_SRA	SRR901247	SRR901247	Mycobacterium abscessus										
M_SRA	SRR989487	SRR989487	Mycobacterium abscessus										
M_SRA	DRR017863	DRR017863	Mycobacterium aromaticivorans										
M_SRA	ERR037951	ERR037951	Mycobacterium avium										
M_SRA	ERR037955	ERR037955	Mycobacterium avium										
M_SRA	ERR037959	ERR037959	Mycobacterium avium										
M_SRA	ERR037963	ERR037963	Mycobacterium avium										
M_SRA	ERR037967	ERR037967	Mycobacterium avium										
M_SRA	ERR037971	ERR037971	Mycobacterium avium										
M_SRA	ERR037975	ERR037975	Mycobacterium avium										
M_SRA	ERR037979	ERR037979	Mycobacterium avium										
M_SRA	ERR037983	ERR037983	Mycobacterium avium										
M_SRA	ERR037987	ERR037987	Mycobacterium avium										
M_SRA	ERR037991	ERR037991	Mycobacterium avium										
M_SRA	ERR037995	ERR037995	Mycobacterium avium										
M_SRA	ERR037999	ERR037999	Mycobacterium avium										
M_SRA	ERR038003	ERR038003	Mycobacterium avium										
M_SRA	ERR038007	ERR038007	Mycobacterium avium										
M_SRA	ERR038011	ERR038011	Mycobacterium avium										
M_SRA	ERR038015	ERR038015	Mycobacterium avium										
M_SRA	ERR038019	ERR038019	Mycobacterium avium										
M_SRA	ERR038023	ERR038023	Mycobacterium avium										
M_SRA	ERR038027	ERR038027	Mycobacterium avium										
M_SRA	ERR038620	ERR038620	Mycobacterium avium										
M_SRA	ERR038624	ERR038624	Mycobacterium avium										
M_SRA	ERR038628	ERR038628	Mycobacterium avium										
M_SRA	ERR040076	ERR040076	Mycobacterium avium										
M_SRA	ERR040080	ERR040080	Mycobacterium avium										
M_SRA	ERR040084	ERR040084	Mycobacterium avium										
M_SRA	ERR045297	ERR045297	Mycobacterium avium										
M_SRA	ERR248974	ERR248974	Mycobacterium avium										
M_SRA	ERR248981	ERR248981	Mycobacterium avium										
M_SRA	ERR248985	ERR248985	Mycobacterium avium										
M_SRA	ERR266515	ERR266515	Mycobacterium avium										
M_SRA	SRR060191	SRR060191	Mycobacterium avium										
M_SRA	SRR1145458	SRR1145458	Mycobacterium avium										
M_SRA	SRR1145511	SRR1145511	Mycobacterium avium										
M_SRA	SRR1145593	SRR1145593	Mycobacterium avium										
M_SRA	SRR1181445	SRR1181445	Mycobacterium avium										
M_SRA	SRR198001	SRR198001	Mycobacterium avium										
M_SRA	SRR201791	SRR201791	Mycobacterium avium										
M_SRA	SRR641386	SRR641386	Mycobacterium avium										
M_SRA	SRR833329	SRR833329	Mycobacterium avium										
M_SRA	SRR972850	SRR972850	Mycobacterium avium										
M_SRA	SRR989488	SRR989488	Mycobacterium avium										
M_SRA	SRR989494	SRR989494	Mycobacterium avium										
M_SRA	DRR016022	DRR016022	Mycobacterium branderi										
M_SRA	DRR015959	DRR015959	Mycobacterium chelonae										
M_SRA	DRR016023	DRR016023	Mycobacterium chelonae										
M_SRA	SRR900498	SRR900498	Mycobacterium chelonae										
M_SRA	DRR017836	DRR017836	Mycobacterium chlorophenolicum										
M_SRA	SRR071371	SRR071371	Mycobacterium chubuense										
M_SRA	SRR452443	SRR452443	Mycobacterium chubuense										
M_SRA	SRR452444	SRR452444	Mycobacterium chubuense										
M_SRA	SRR231104	SRR231104	Mycobacterium colombiense										
M_SRA	DRR017864	DRR017864	Mycobacterium crocinum										
M_SRA	DRR015962	DRR015962	Mycobacterium flavescens										
M_SRA	DRR017827	DRR017827	Mycobacterium fluoranthenivorans										
M_SRA	DRR015958	DRR015958	Mycobacterium fortuitum										
M_SRA	DRR016024	DRR016024	Mycobacterium fortuitum										
M_SRA	SRR748310	SRR748310	Mycobacterium gilvum										
M_SRA	SRR748311	SRR748311	Mycobacterium gilvum										
M_SRA	DRR015956	DRR015956	Mycobacterium gordonae										
M_SRA	DRR017849	DRR017849	Mycobacterium hodleri										
M_SRA	DRR016025	DRR016025	Mycobacterium interjectum										
M_SRA	ERR248978	ERR248978	Mycobacterium intracellulare										
M_SRA	ERR248979	ERR248979	Mycobacterium intracellulare										
M_SRA	ERR248980	ERR248980	Mycobacterium intracellulare										
M_SRA	SRR900528	SRR900528	Mycobacterium intracellulare										
M_SRA	SRR901710	SRR901710	Mycobacterium intracellulare										
M_SRA	SRR901719	SRR901719	Mycobacterium intracellulare										
M_SRA	SRR901720	SRR901720	Mycobacterium intracellulare										
M_SRA	SRR901734	SRR901734	Mycobacterium intracellulare										
M_SRA	SRR901743	SRR901743	Mycobacterium intracellulare										
M_SRA	SRR901744	SRR901744	Mycobacterium intracellulare										
M_SRA	DRR016045	DRR016045	Mycobacterium kansasii										
M_SRA	DRR016055	DRR016055	Mycobacterium kansasii										
