"Supplementary Dataset 1. R - Resistance, S - Susceptible"																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clol Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_A1	C00009033	ERS398006	aureus	22	cc22	S	R		S	S	R	S	S	S	S	S	S
St_A1	C00003191	ERS397695	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00000848	ERS397545	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000849	ERS397546	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000846	ERS397543	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000847	ERS397544	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000845	ERS397542	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000840	ERS397541	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003198	ERS397702	aureus	12	cc12	S	R	S	S	S	S	S	S		S		S
St_A1	C00003133	ERS397639	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003132	ERS397638	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003131	ERS397637	aureus	45	cc45	S	S	S	S	S	S	S	R		S		S
St_A1	C00003130	ERS397636	aureus	22	cc22	S	R	S	S	S	R	R	S		R		S
St_A1	C00003137	ERS397643	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003136	ERS397642	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003135	ERS397641	aureus	1	cc1	S	R	S	S	S	S	S	R		R		S
St_A1	C00003134	ERS397640	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003139	ERS397645	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003138	ERS397644	aureus	12	cc12	S	R	S	S	S	S	S	S		S		S
St_A1	C00003241	ERS397742	aureus	97	cc97	S	R	S	S	S	S	S	S		S		S
St_A1	C00003240	ERS397741	aureus	12	cc12	S	S	S	S	S	S	S	S		S		S
St_A1	C00003243	ERS397744	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003171	ERS397675	aureus	34	cc34	S	R	S	S	S	S	S	S		S		S
St_A1	C00003245	ERS397746	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00003148	ERS397653	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003244	ERS397745	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003247	ERS397748	aureus	22	cc22	S	R	S	R	S	R	S	S		S		S
St_A1	C00003246	ERS397747	aureus	15	cc15	S	R	S	R	S	S	S	S		S		S
St_A1	C00003253	ERS397754	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003319	ERS397816	aureus	291	cc291	S	R	S	S	S	S	S	S		S		S
St_A1	C00003318	ERS397815	aureus	5	cc5	S	R	S	S	S	S	S	S		S		S
St_A1	C00003313	ERS397810	aureus	97	cc97	S	S	S	S	S	S	S	S		S		S
St_A1	C00007082	ERS397938	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003311	ERS397808	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003310	ERS397807	aureus	34	cc34	S	R	S	S	S	S	S	S		S		S
St_A1	C00003317	ERS397814	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00003316	ERS397813	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003315	ERS397812	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003314	ERS397811	aureus	5	cc5	S	R	S	S	S	S	S	S		S		S
St_A1	C00003090	ERS397601	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003091	ERS397602	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00003092	ERS397603	aureus	25	cc25	S	R	S	S	S	S	S	S		S		S
St_A1	C00003093	ERS397604	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003095	ERS397605	aureus			S	S	S	S	S	S	S	S		S		S
St_A1	C00003096	ERS397606	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003098	ERS397607	aureus	5	cc5	S	S	S	S	S	S	S	S		S		S
St_A1	C00003099	ERS397608	aureus	5	cc5	S	S	S	S	S	S	S	S		S		S
St_A1	C00008973	ERS397991	aureus	22	cc22	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00008970	ERS397988	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00008971	ERS397989	aureus	45	cc45	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00003267	ERS397768	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003266	ERS397767	aureus	5	cc5	S	S	S	S	S	S	S	R		S		S
St_A1	C00003265	ERS397766	aureus			S	R	S	S	S	S	S	S		R		S
St_A1	C00003264	ERS397765	aureus	1	cc1	S	R	S	S	S	S	S	S		R		S
St_A1	C00003263	ERS397764	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003262	ERS397763	aureus	15	cc15	S	R	S	R	S	S	S	R		S		S
St_A1	C00003261	ERS397762	aureus	5	cc5	S	R	S	S	S	S	S	S		S		S
St_A1	C00003260	ERS397761	aureus	5	cc5	S	R	S	S	S	S	S	S		S		S
St_A1	C00003341	ERS397835	aureus			S	S	S	S	S	S	S	S		S		S
St_A1	C00003403	ERS397895	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00003402	ERS397894	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003400	ERS397893	aureus	5	cc5	S	S	S	S	S	S	S	S		S		S
St_A1	C00003407	ERS397899	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003406	ERS397898	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003405	ERS397897	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003404	ERS397896	aureus			S	R	R	S	S	S	S	S		S		S
St_A1	C00003409	ERS397901	aureus	59	cc59	S	S	S	S	S	S	S	S		S		S
St_A1	C00003408	ERS397900	aureus	25	cc25	S	R	S	S	S	S	S	S		S		S
St_A1	C00003347	ERS397840	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00001386	ERS397560	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00001387	ERS397561	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00001384	ERS397558	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00001385	ERS397559	aureus	36	cc30	S	R		R	R	R	R	S	S	S	R	S
St_A1	C00001388	ERS397562	aureus	22	cc22	S	R		S	R	R	S	S	S	S	S	S
St_A1	C00001389	ERS397563	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00008638	ERS397980	aureus			S	R		S	R	R	S	S	S	S	S	S
St_A1	C00008635	ERS397977	aureus			S	R		S	S	S	S	S	S	S	S	S
St_A1	C00008982	ERS397992	aureus	36	cc30	S	R		R	R	R	S	R	S	S	S	S
St_A1	C00008637	ERS397979	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00008633	ERS397976	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00008632	ERS397975	aureus	1693		S	R		S	S	S	S	S	S	R	S	S
St_A1	C00003218	ERS397721	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00008626	ERS397970	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00002658	ERS397591	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00002653	ERS397587	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00002652	ERS397586	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00002655	ERS397588	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00002657	ERS397590	aureus	22	cc22	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00002656	ERS397589	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00003124	ERS397630	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003125	ERS397631	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003126	ERS397632	aureus	474		S	R	S	S	S	S	S	S		S		S
St_A1	C00003127	ERS397633	aureus	22	cc22	S	R	S	S	S	R	S	S		S		S
St_A1	C00003120	ERS397627	aureus	8	cc8	S	R	S	S	S	S	S	S		R		S
St_A1	C00003121	ERS397628	aureus	88	cc88	S	S	S	S	S	S	S	S		S		S
St_A1	C00003122	ERS397629	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003128	ERS397634	aureus	8	cc8	S	R	S	S	S	S	S	S		R		S
St_A1	C00003129	ERS397635	aureus	25	cc25	S	R	S	S	S	S	S	S		S		S
St_A1	C00008625	ERS397969	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00003393	ERS397886	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003392	ERS397885	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003391	ERS397884	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003390	ERS397883	aureus	291	cc291	S	R	S	S	S	S	S	S		S		S
St_A1	C00003397	ERS397890	aureus	45	cc45	S	R	S	S	S	S	S	S		R		S
St_A1	C00003396	ERS397889	aureus	582	cc582	S	R	R	S	S	S	S	S		S		S
St_A1	C00003395	ERS397888	aureus	22	cc22	S	R	S	R	R	S	S	S		S		S
St_A1	C00003394	ERS397887	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003399	ERS397892	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003398	ERS397891	aureus	101	cc101	S	S	S	S	S	S	S	S		S		S
St_A1	C00003151	ERS397656	aureus	22	cc22	S	R	R	R	R	R	S	S		R		S
St_A1	C00003150	ERS397655	aureus	291	cc291	S	R	S	S	S	S	S	S		S		S
St_A1	C00003153	ERS397658	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003152	ERS397657	aureus	59	cc59	S	R	S	R	S	S	S	S		S		S
St_A1	C00003155	ERS397660	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003154	ERS397659	aureus	36	cc30	S	R	S	R	R	R	S	S		S		S
St_A1	C00003156	ERS397661	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003159	ERS397663	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003158	ERS397662	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00008627	ERS397971	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00003147	ERS397652	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00007098	ERS397951	aureus	22	cc22	S	R		S	R	R	S	S	S	S	S	S
St_A1	C00007099	ERS397952	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007094	ERS397947	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007095	ERS397948	aureus	582	cc582	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007096	ERS397949	aureus			S	R		S	R	R	S	S	S	R	S	S
St_A1	C00007097	ERS397950	aureus	1	cc1	S	R		R	S	S	S	R	S	S	R	S
St_A1	C00007091	ERS397944	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007092	ERS397945	aureus	1	cc1	S	S		S	S	S	S	S	S	R	S	S
St_A1	C00007093	ERS397946	aureus	22	cc22	S	R		S	R	R	S	S	S	S	S	S
St_A1	C00003149	ERS397654	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00008947	ERS397982	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00008946	ERS397981	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00008949	ERS397984	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00008948	ERS397983	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000789	ERS397511	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000788	ERS397510	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000785	ERS397507	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000784	ERS397506	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000787	ERS397509	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000786	ERS397508	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00001400	ERS397567	aureus	22	cc22	S	R		S	R	S	S	S	S	S	S	S
St_A1	C00003379	ERS397872	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003277	ERS397777	aureus	34	cc34	S	R	S	S	S	S	S	S		S		S
St_A1	C00003371	ERS397864	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003370	ERS397863	aureus	5	cc5	S	R	S	S	S	S	S	S		S		S
St_A1	C00003375	ERS397868	aureus	34	cc34	S	R	R	S	S	S	S	S		S		S
St_A1	C00003374	ERS397867	aureus	22	cc22	S	R	S	S	S	S	S	S		S		S
St_A1	C00003414	ERS397906	aureus	72		S	R	S	R	S	R	S	S		S		S
St_A1	C00003415	ERS397907	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003417	ERS397908	aureus	25	cc25	S	R	S	S	S	S	S	S		S		S
St_A1	C00003303	ERS397800	aureus			S	R	S	S	S	S	S	S		R		S
St_A1	C00003411	ERS397903	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003412	ERS397904	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003413	ERS397905	aureus	22	cc22	S	R	S	S	S	R	S	S		S		S
St_A1	C00003418	ERS397909	aureus	188		S	R	S	S	S	S	S	S		S		S
St_A1	C00003419	ERS397910	aureus	1	cc1	S	R	S	S	S	S	S	S		S		S
St_A1	C00000809	ERS397520	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003350	ERS397843	aureus			S	R	S	S	S	S	S	S		R		S
St_A1	C00001449	ERS397581	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00001448	ERS397580	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00001441	ERS397574	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00001440	ERS397573	aureus	30	cc30	S	R		S	S	R	S	S	S	S	S	S
St_A1	C00001443	ERS397576	aureus	30	cc30	S	R		S	S	R	S	S	S	S	S	S
St_A1	C00001442	ERS397575	aureus	30	cc30	S	R		S	S	R	S	S	S	S	S	S
St_A1	C00001445	ERS397577	aureus	22	cc22	S	S		S	S	S	S	S	S	S	S	S
St_A1	C00001447	ERS397579	aureus			S	S		S	S	S	S	S	S	S	S	S
St_A1	C00001446	ERS397578	aureus	39	cc39	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00000864	ERS397557	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000860	ERS397553	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000861	ERS397554	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000862	ERS397555	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000863	ERS397556	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00002649	ERS397585	aureus	2047		S	R		S	S	S	S	S	S	S	S	S
St_A1	C00000815	ERS397522	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000814	ERS397521	aureus	22	cc22	S	R		R	R	R	S	R	S	R	R	S
St_A1	C00000817	ERS397524	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000816	ERS397523	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000819	ERS397526	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000818	ERS397525	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003378	ERS397871	aureus	34	cc34	S	R	S	S	S	S	S	S		S		S
St_A1	C00003384	ERS397877	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003385	ERS397878	aureus	5	cc5	S	S	S	S	S	S	S	S		S		S
St_A1	C00003386	ERS397879	aureus	22	cc22	S	R	R	R	R	S	S	S		S		S
St_A1	C00003387	ERS397880	aureus	97	cc97	S	R	S	S	S	S	S	S		S		S
St_A1	C00003380	ERS397873	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003381	ERS397874	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003382	ERS397875	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003383	ERS397876	aureus	182		S	R	S	S	S	S	S	S		S		S
St_A1	C00003388	ERS397881	aureus	8	cc8	S	R	S	S	S	S	S	S		R		S
St_A1	C00003389	ERS397882	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003142	ERS397648	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003143	ERS397649	aureus	59	cc59	S	R	S	S	S	S	S	S		S		S
St_A1	C00003140	ERS397646	aureus	121		S	R	S	S	S	S	S	S		S		S
St_A1	C00003141	ERS397647	aureus	8	cc8	S	R	S	S	S	S	S	R		R		S
St_A1	C00003144	ERS397650	aureus	5	cc5	S	S	S	S	S	S	S	S		S		S
St_A1	C00003145	ERS397651	aureus	5	cc5	S	S	S	S	S	S	S	S		S		S
St_A1	C00007061	ERS397917	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007063	ERS397919	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007062	ERS397918	aureus	250		S	R		S	R	S	S	R	S	S	S	S
St_A1	C00007065	ERS397921	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00007064	ERS397920	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00007067	ERS397923	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00007066	ERS397922	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00007069	ERS397925	aureus	250		S	R		S	R	S	S	R	S	S	S	S
St_A1	C00007068	ERS397924	aureus	5	cc5	S	R		S	S	S	S	R	S	S	S	S
St_A1	C00008958	ERS397985	aureus	1	cc1	S	R		S	S	S	S	S	S	R	S	S
St_A1	C00008959	ERS397986	aureus	36	cc30	S	R		R	S	R	S	S	S	S	R	S
